Initiative Record ID#,Initative Type,Marketing Projects Record ID#,Page Name,Website,Priority,Assigned To,Initiative CF Status,Content Lauch Date,CF Required Completion Date,CF Actual Start Date,Duration,CF Projected Completion Date,CF Actual Completion Date,Days Overdue,ULDs Req.,ULDs Total Sent to CF  (Queued),ULDs Total Sent to CF (Deficit) or Overage,Contacts Req. For EM,Links Req.,Contacts Total Harvested,Contacts Total Harvested (Deficit) Overage,# of Campaigns,Campaigns,Add Campaign,Contact Finding: History/Notes/Issues,Initiative Email Marketing Status,Email Marketing Projected Send Date,Email Marketing Actual Send Date (Start),Email Marketing Actual Send Date (Completion),Total # Email Sent,Sent Email (Deficit) Overage,Campaign - Total Projected Links From Email Sent,Total # of Links Built,Email Marketing: History/Notes/Issues,Total Projected Links Built To Date,Projected Conversion % - To Date,Actual Conversion %,Performance - Links Builts Vs. Projected to Date,Total ULD Built,Total Actual Contacts Harvested (Ref Only)
847,RMI,864,New Jersey,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",1994,-672.66666666667,"1,481.4814814815",10,"2,479",997.51851851852,4,847,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=847&z=bgfb,,Complete,,02-17-2016,05-09-2016,4342,"2,860.5185185185",32.565,16,,31.3345725,0.72166219484109%,0.36849378166743%,-15.3345725,15,2479
848,RMI,865,New Mexico,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",378,"-2,288.6666666667","1,481.4814814815",10,696,-785.48148148148,4,848,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=848&z=bgfb,,In Progress,,02-29-2016,,1048,-433.48148148148,7.86,13,,7.53758775,0.71923547232824%,1.2404580152672%,5.46241225,9,696
849,RMI,866,New York,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",4212,"1,545.3333333333","1,481.4814814815",10,"5,728","4,246.5185185185",4,849,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=849&z=bgfb,,Complete,,02-17-2016,05-09-2016,9782,"8,300.5185185185",73.365,29,,70.62768075,0.72201677315477%,0.29646289102433%,-41.62768075,21,5728
850,RMI,867,North Carolina,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"15,733.333333333",3518,"-12,215.333333333","8,740.7407407407",59,"4,727","-4,013.7407407407",4,850,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=850&z=bgfb,,Complete,,02-03-2016,05-09-2016,8094,-646.74074074074,60.705,36,,58.855068,0.72714440326168%,0.44477390659748%,-22.855068,30,4727
851,RMI,868,North Dakota,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",660,"-2,006.6666666667","1,481.4814814815",10,996,-485.48148148148,4,851,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=851&z=bgfb,,Complete,,02-29-2016,05-09-2016,1522,40.518518518518,11.415,1,,10.94622375,0.71919998357424%,0.065703022339028%,-9.94622375,1,996
852,RMI,869,Ohio,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"18,666.666666667",5105,"-13,561.666666667","10,370.37037037",70,"6,304","-4,066.3703703704",4,852,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=852&z=bgfb,,Complete,,02-03-2016,05-09-2016,"11,102",731.62962962963,83.265,64,,80.664924,0.72658011169159%,0.57647270762025%,-16.664924,57,6304
853,RMI,870,Oklahoma,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",1206,"-1,460.6666666667","1,481.4814814815",10,"1,566",84.518518518518,4,853,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=853&z=bgfb,,Complete,,02-17-2016,05-09-2016,2673,"1,191.5185185185",20.0475,19,,19.29953025,0.7220175925926%,0.71081182192293%,-0.29953025,15,1566
854,RMI,871,Oregon,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",880,"-1,786.6666666667","1,481.4814814815",10,"1,629",147.51851851852,4,854,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=854&z=bgfb,,Complete,,02-29-2016,05-09-2016,2346,864.51851851852,17.595,19,,16.8799125,0.71951886189258%,0.80988917306053%,2.1200875,14,1629
855,RMI,872,Pennsylvania,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"11,733.333333333",2403,"-9,330.3333333333","6,518.5185185185",44,"3,192","-3,326.5185185185",4,855,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=855&z=bgfb,,In Progress,,02-01-2016,,5549,-969.51851851852,41.6175,27,,40.333278,0.72685669489998%,0.48657415750586%,-13.333278,27,3192
856,RMI,873,Rhode Island,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",210,"-2,456.6666666667","1,481.4814814815",10,400,"-1,081.4814814815",4,856,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=856&z=bgfb,,In Progress,,02-29-2016,,591,-890.48148148148,4.4325,2,,4.2497235,0.7190733502538%,0.33840947546531%,-2.2497235,1,400
